|Nobsts|,|Tc|,|Tp|,|Ns|,|Nkn|,|Acc|,|MaxIt|,|FS_MaxIt|,|LS_MaxIt|,|Deps|,|Seps|,|Drho|,|LS_mdist|,|LS_topt|,|Dopt|,|MOB|,|PEN|,|NSE|,|FIR|,|LAS|,|LMA|,|MAX|,|MIN|,|AVG|,|RMP|,|RMG|,|TOT|
7,0.6,4.0,10,5,0.001,15,40,25,5.0,0.1,1.0,0.5,1.0,10.0,1.0,0.0180583413232,39.0,1.21900010109,0.555999994278,0.0,0.568000078201,0.029000043869,0.234756753251,1.27800017595,1.27800017595,18.0819395302
7,0.6,4.0,10,5,0.001,15,40,25,5.0,0.1,2.0,0.5,1.0,10.0,2.0,0.0388523737447,36.0,1.48199987411,0.673000097275,0.0,0.674999952316,0.0380001068115,0.295705879436,1.51874989271,1.51874989271,16.3867978164
7,0.6,4.0,10,5,0.001,15,40,25,5.0,0.1,3.0,0.5,1.0,10.0,3.0,0.0340172314228,34.0,1.48000001907,0.626999855042,1.0,0.46799993515,0.113999843597,0.316687501967,1.05299985409,1.41074967384,15.7330615975
7,0.6,4.0,10,5,0.001,15,40,25,5.0,0.1,4.0,0.5,1.0,10.0,5.0,0.039935285989,33.0,1.74099993706,0.699999809265,1.0,0.452000141144,0.143000125885,0.322967744643,1.01700031757,1.57499957085,15.4969445913
7,0.6,4.0,10,5,0.001,15,40,25,5.0,0.1,5.0,0.5,1.0,10.0,5.0,0.0388596616103,33.0,1.69799995422,0.748000144958,1.0,0.483000040054,0.145999908447,0.320677418863,1.08675009012,1.68300032616,15.4424273729
7,0.6,4.0,10,5,0.001,15,40,25,5.0,0.1,6.0,0.5,1.0,10.0,7.0,0.0390935959202,33.0,1.97899985313,0.828999996185,1.0,0.586999893188,0.159999847412,0.380741942313,1.32074975967,1.86524999142,15.4440220935
7,0.6,4.0,10,5,0.001,15,40,25,5.0,0.1,7.0,0.5,1.0,10.0,7.0,0.0390935959202,33.0,1.99400019646,0.786000013351,1.0,0.59299993515,0.149000167847,0.37738710065,1.33424985409,1.76850003004,15.4440220935
