|Nobsts|,|Tc|,|Tp|,|Ns|,|Nkn|,|Acc|,|MaxIt|,|FS_MaxIt|,|LS_MaxIt|,|Deps|,|Seps|,|Drho|,|LS_mdist|,|LS_topt|,|Dopt|,|NSE|,|FIR|,|LAS|,|LMA|,|MAX|,|MIN|,|AVG|,|RMP|,|RMG|,|TOT|
3,0.4,3.7000000000000002,10,6,0.001,15,40,25,5.0,0.1,4.0,0.5,1.0,10.0,17.0,1.49694013596,0.507589101791,0.0,0.568313121796,0.0840849876404,0.277678537369,1.38238326923,1.38238326923,7.51498351002
3,0.5,3.7000000000000002,10,6,0.001,15,40,25,5.0,0.1,4.0,0.5,1.0,10.0,17.0,1.45980405807,0.496508836746,0.0,0.554449081421,0.0834360122681,0.270789527893,1.34865992778,1.34865992778,7.51498351002
3,0.6,3.7000000000000002,10,6,0.001,15,40,25,5.0,0.1,4.0,0.5,1.0,10.0,17.0,1.47059082985,0.502221822739,0.0,0.563347101212,0.0825040340424,0.273329718908,1.3703037597,1.3703037597,7.51498351002
3,0.7,3.7000000000000002,10,6,0.001,15,40,25,5.0,0.1,4.0,0.5,1.0,10.0,9.0,1.47161221504,0.502656936646,1.0,0.349968910217,0.0847239494324,0.222537551607,0.425637863778,0.611339517542,7.44373738447
3,0.8,3.7000000000000002,10,6,0.001,15,40,25,5.0,0.1,4.0,0.5,1.0,10.0,9.0,1.44783592224,0.495239973068,1.0,0.347947120667,0.0824291706085,0.219695772443,0.42317893054,0.602318886164,7.44373738447
3,0.9,3.7000000000000002,10,6,0.001,15,40,25,5.0,0.1,4.0,0.5,1.0,10.0,9.0,1.45436286926,0.49617600441,1.0,0.342559814453,0.0843319892883,0.219015393938,0.416626801362,0.603457302661,7.44373738447
3,1.0,3.7000000000000002,10,6,0.001,15,40,25,5.0,0.1,4.0,0.5,1.0,10.0,9.0,1.49285507202,0.504752159119,1.0,0.357068777084,0.0835478305817,0.227241379874,0.434272836994,0.61388776109,7.44373738447
3,1.1,3.7000000000000002,10,6,0.001,15,40,25,5.0,0.1,4.0,0.5,1.0,10.0,6.0,1.49009108543,0.568106174469,1.0,0.28409910202,0.1233959198,0.233918011189,0.23035062326,0.460626627948,7.4785320824
3,1.2,3.7000000000000002,10,6,0.001,15,40,25,5.0,0.1,4.0,0.5,1.0,10.0,6.0,1.54868102074,0.58510684967,1.0,0.297884941101,0.128983020782,0.240456521511,0.241528330622,0.474410959192,7.4785320824
3,1.3,3.7000000000000002,10,6,0.001,15,40,25,5.0,0.1,4.0,0.5,1.0,10.0,6.0,1.49957418442,0.578483104706,1.0,0.291574001312,0.123704910278,0.236426234245,0.236411352415,0.469040355167,7.4785320824
3,1.4,3.7000000000000002,10,6,0.001,15,40,25,5.0,0.1,4.0,0.5,1.0,10.0,6.0,1.49103188515,0.572686910629,1.0,0.296699047089,0.121999025345,0.236921489239,0.240566794937,0.464340738348,7.4785320824
3,1.5,3.7000000000000002,10,6,0.001,15,40,25,5.0,0.1,4.0,0.5,1.0,10.0,5.0,1.47034502029,0.49794793129,1.0,0.287796020508,0.124949932098,0.216534932454,0.175011093552,0.302806174433,7.49099222012
3,1.6,3.7000000000000002,10,6,0.001,15,40,25,5.0,0.1,4.0,0.5,1.0,10.0,5.0,1.48283004761,0.503547906876,1.0,0.286948204041,0.121835947037,0.216424385707,0.174495529484,0.306211564992,7.49099222012
3,1.7,3.7000000000000002,10,6,0.001,15,40,25,5.0,0.1,4.0,0.5,1.0,10.0,5.0,1.48429989815,0.52226805687,1.0,0.288425922394,0.126202821732,0.220507542292,0.175394141996,0.317595439988,7.49099222012
3,1.8,3.7000000000000002,10,6,0.001,15,40,25,5.0,0.1,4.0,0.5,1.0,10.0,5.0,1.51306319237,0.52911901474,1.0,0.299292087555,0.124727964401,0.222629388173,0.182001945135,0.321761563018,7.49099222012
3,1.9,3.7000000000000002,10,6,0.001,15,40,25,5.0,0.1,4.0,0.5,1.0,10.0,4.0,1.52027797699,0.582953929901,1.0,0.293171882629,0.287489891052,0.290330886841,0.142624159117,0.283599209141,7.57261693733
3,2.0,3.7000000000000002,10,6,0.001,15,40,25,5.0,0.1,4.0,0.5,1.0,10.0,4.0,1.5045940876,0.596596956253,1.0,0.307668209076,0.301160097122,0.304414153099,0.149676426037,0.290236357096,7.57261693733
3,2.1,3.7000000000000002,10,6,0.001,15,40,25,5.0,0.1,4.0,0.5,1.0,10.0,0,1,2,3,4,5,6,7,8,9
3,2.2,3.7000000000000002,10,6,0.001,15,40,25,5.0,0.1,4.0,0.5,1.0,10.0,0,1,2,3,4,5,6,7,8,9
