Tc,Tp,Ns,Nkn,Acc,MaxIt,NSE,FIR,LAS,MAX,MIN,AVG,TOT
0.20000000000000001,1.0,20,6,0.0001,50,72.0,3.67897796631,3.78392410278,5.00927114487,0.0759320259094,0.998598371233,15.0981595761
0.24285714285714288,1.0,20,6,0.0001,50,54.0,3.74557781219,3.84534811974,2.26933312416,0.428141832352,0.970771193504,14.4385678061
0.28571428571428575,1.0,20,6,0.0001,50,49.0,3.66401600838,3.76473212242,2.08721494675,0.143797874451,0.799043604668,14.7041776414
0.32857142857142863,1.0,20,6,0.0001,50,40.0,3.59862613678,3.73607611656,4.08192706108,0.0743911266327,0.827157346826,13.6438122007
0.37142857142857144,1.0,20,6,0.0001,50,35.0,3.72630095482,3.7697532177,4.91377592087,0.144767999649,0.973878159668,13.3832988323
0.41428571428571437,1.0,20,6,0.0001,50,29.0,3.65758919716,3.77923798561,4.88374590874,0.143682003021,0.951303482056,12.3705549344
0.45714285714285718,1.0,20,6,0.0001,50,33.0,3.63953399658,3.73675298691,4.79619407654,0.142335891724,1.07885013857,15.6835702594
0.5,1.0,20,6,0.0001,50,23.0,3.66631889343,3.74149012566,4.86242079735,0.0755200386047,0.905702863421,11.6746057379
0.54285714285714293,1.0,20,6,0.0001,50,24.0,3.72090387344,3.83488202095,4.9302752018,0.0763411521912,1.11315509406,13.1743268425
0.58571428571428585,1.0,20,6,0.0001,50,21.0,3.63685798645,3.68568515778,2.74950695038,0.141516923904,0.75294243662,12.2893976314
0.62857142857142867,1.0,20,6,0.0001,50,19.0,3.62048006058,3.77751517296,5.1529071331,0.142910003662,1.00768239358,12.0514508687
0.67142857142857149,1.0,20,6,0.0001,50,18.0,3.71738696098,3.78856301308,4.9675090313,0.144512891769,0.907850384712,11.8098855445
0.71428571428571441,1.0,20,6,0.0001,50,17.0,3.67782402039,3.77098298073,3.70124197006,0.144211053848,0.936340824763,12.1996128083
0.75714285714285734,1.0,20,6,0.0001,50,16.0,3.66043400764,3.7830119133,1.80465912819,0.145477056503,0.816608803613,12.2130216188
0.80000000000000004,1.0,20,6,0.0001,50,16.0,3.72019720078,3.82613801956,3.68015480042,0.146282196045,0.991685952459,12.4041941132
0.27142857142857146,1.3571428571428572,20,6,0.0001,50,47.0,3.7470870018,3.85174107552,4.13713598251,0.14781999588,0.888303057353,13.7400570444
0.32959183673469394,1.3571428571428572,20,6,0.0001,50,35.0,3.66039991379,3.80591702461,2.58012413979,0.092845916748,0.811445785291,12.603418264
0.38775510204081637,1.3571428571428572,20,6,0.0001,50,35.0,3.74505710602,3.81839680672,2.10349607468,0.145232915878,0.776113539031,14.5810721953
0.44591836734693885,1.3571428571428572,20,6,0.0001,50,29.0,3.69450211525,3.79021906853,2.37165403366,0.144958019257,0.755951687142,13.5915139954
0.50408163265306127,1.3571428571428572,20,6,0.0001,50,24.0,3.72445392609,3.83366203308,1.4573969841,0.147009134293,0.72900883718,12.8692406368
0.56224489795918375,1.3571428571428572,20,6,0.0001,50,21.0,3.7354259491,3.81208586693,1.44615387917,0.147274971008,0.783643709986,12.3738282639
0.62040816326530623,1.3571428571428572,20,6,0.0001,50,19.0,3.65851902962,3.7674369812,2.06495094299,0.143151044846,0.760151708827,12.0320750347
0.6785714285714286,1.3571428571428572,20,6,0.0001,50,17.0,3.64284896851,3.77352881432,1.54469585419,0.143014907837,0.712099742889,11.7070775413
0.73673469387755119,1.3571428571428572,20,6,0.0001,50,17.0,3.6169629097,3.72877502441,1.56233596802,0.142511844635,0.731733242671,12.6376354955
0.79489795918367356,1.3571428571428572,20,6,0.0001,50,15.0,3.63424396515,3.71469497681,1.86342310905,0.142807006836,0.854051993443,12.277539582
0.85306122448979604,1.3571428571428572,20,6,0.0001,50,14.0,3.7421400547,3.82594203949,2.47203207016,0.146634101868,0.852804005146,12.0706855406
0.91122448979591852,1.3571428571428572,20,6,0.0001,50,13.0,3.69145989418,3.74486708641,2.17736792564,0.143476963043,0.81293944879,11.8198222268
0.969387755102041,1.3571428571428572,20,6,0.0001,50,12.0,3.62099289894,3.73427009583,1.3118391037,0.143238782883,0.838904929161,12.0172072716
1.0275510204081635,1.3571428571428572,20,6,0.0001,50,12.0,3.73894810677,3.83673405647,2.10577106476,0.146095991135,0.95206284523,12.3275358535
1.0857142857142859,1.3571428571428572,20,6,0.0001,50,11.0,3.8842458725,3.97493004799,3.17347717285,0.15370798111,1.13291043705,12.084327085
0.34285714285714286,1.7142857142857144,20,6,0.0001,50,36.0,3.70619487762,3.74455118179,1.60333299637,0.0748760700226,0.68991558692,13.6442324374
0.41632653061224489,1.7142857142857144,20,6,0.0001,50,27.0,3.60470795631,3.70794200897,1.31069302559,0.0741710662842,0.655243558884,12.5723669143
0.48979591836734693,1.7142857142857144,20,6,0.0001,50,27.0,3.59813809395,3.70222902298,1.38128995895,0.141899108887,0.648100442886,14.4827913078
0.56326530612244896,1.7142857142857144,20,6,0.0001,50,22.0,3.69236898422,3.78496193886,1.34883499146,0.0822041034698,0.728770828247,13.4705822835
0.63673469387755099,1.7142857142857144,20,6,0.0001,50,19.0,3.7183599472,3.80052995682,1.63045501709,0.145359992981,0.698464519837,12.8309201138
0.71020408163265303,1.7142857142857144,20,6,0.0001,50,16.0,3.63432693481,3.70003199577,1.39857602119,0.141938924789,0.7944118636,12.3101247132
0.78367346938775506,1.7142857142857144,20,6,0.0001,50,16.0,3.70868802071,3.80276989937,5.03805184364,0.145570993423,1.09918592657,12.8098133408
