Tc,Tp,Ns,Nkn,Acc,MaxIt,NSE,FIR,LAS,MAX,MIN,AVG,RAT,TOT
0.10000000000000001,1.0,20,6,0.0001,50,198.0,5.39367699623,3.80328297615,5.28309011459,0.10436296463,0.902899487894,52.8309011459,20.7181909693
0.20000000000000001,1.0,20,6,0.0001,50,72.0,3.66898798943,3.7660241127,5.0047249794,0.0761280059814,0.99922083446,25.023624897,15.0981595761
0.30000000000000004,1.0,20,6,0.0001,50,40.0,3.64382004738,3.71816515923,4.33081007004,0.143179893494,0.909908275855,14.4360335668,12.5301771162
0.40000000000000002,1.0,20,6,0.0001,50,29.0,3.66155004501,3.74474811554,3.08963894844,0.469536066055,1.03987632857,7.7240973711,12.6590950217
0.5,1.0,20,6,0.0001,50,23.0,3.74929690361,3.83589792252,4.99426794052,0.0777471065521,0.931145361492,9.98853588104,11.6746057379
0.59999999999999998,1.0,20,6,0.0001,50,21.0,3.70208501816,3.78636288643,3.45017004013,0.145408153534,0.846845915443,5.75028340022,12.5750752737
0.70000000000000007,1.0,20,6,0.0001,50,18.0,3.58138990402,3.66890907288,4.67308402061,0.141053915024,0.895944073796,6.67583431516,12.2953578041
0.80000000000000004,1.0,20,6,0.0001,50,16.0,3.67217493057,3.76479196548,3.6185901165,0.144825935364,0.973610043526,4.52323764563,12.4041941132
0.11000000000000001,1.1000000000000001,20,6,0.0001,50,176.0,3.66991305351,3.75249004364,5.19911694527,0.0760638713837,0.848391246522,47.2646995024,20.362243919
0.20777777777777778,1.1000000000000001,20,6,0.0001,50,61.0,3.7327299118,3.82449197769,5.21279597282,0.077418088913,1.309046814,25.0883228638,13.5714577832
0.30555555555555558,1.1000000000000001,20,6,0.0001,50,53.0,3.59352588654,3.68007898331,4.58368301392,0.14156794548,0.944671312968,15.0011444092,16.8456328263
0.40333333333333332,1.1000000000000001,20,6,0.0001,50,30.0,3.72476577759,3.80691218376,3.50267577171,0.0771090984344,0.829276451043,8.68432009516,12.7220385595
0.50111111111111117,1.1000000000000001,20,6,0.0001,50,24.0,3.86884999275,3.72806286812,5.23295211792,0.0756890773773,1.27306441827,10.4426982398,12.3769965821
0.59888888888888892,1.1000000000000001,20,6,0.0001,50,21.0,3.7401330471,4.1198489666,5.24880599976,0.166706085205,0.984065846393,8.7642400738,12.6418081525
0.69666666666666666,1.1000000000000001,20,6,0.0001,50,17.0,3.73314189911,3.80477190018,4.69348716736,0.146873950958,1.19073096911,6.73706291965,12.050568436
0.79444444444444451,1.1000000000000001,20,6,0.0001,50,15.0,3.659927845,3.7428150177,1.91858506203,0.14507484436,0.803931382986,2.41500217598,11.6701357336
0.89222222222222225,1.1000000000000001,20,6,0.0001,50,18.0,3.69641208649,3.78060293198,3.01603794098,0.145582914352,1.01563027501,3.38036630994,15.9851384204
0.12,1.2,20,6,0.0001,50,169.0,3.70649409294,3.78452801704,5.18367195129,0.145598173141,1.01541554285,43.1972662608,21.3829415234
0.21599999999999997,1.2,20,6,0.0001,50,95.0,3.74882221222,3.83731198311,5.10774302483,0.147556066513,1.1035396822,23.6469584483,21.4521044679
0.31199999999999994,1.2,20,6,0.0001,50,40.0,3.63889980316,3.72772192955,2.37116789818,0.0751850605011,0.793347239494,7.59989710955,13.4230379224
0.40799999999999997,1.2,20,6,0.0001,50,33.0,3.67103099823,3.74406599998,4.14787197113,0.0755748748779,0.867623044598,10.1663528704,14.041812318
0.504,1.2,20,6,0.0001,50,34.0,3.68762207031,3.74534010887,3.32019400597,0.376256942749,1.02258410305,6.58768651977,18.4852323171
0.59999999999999987,1.2,20,6,0.0001,50,21.0,3.65205192566,3.74550199509,4.3872551918,0.143884181976,1.05161955482,7.31209198634,12.9404980092
0.69599999999999995,1.2,20,6,0.0001,50,22.0,3.59695601463,3.65824604034,4.67821097374,0.480350971222,1.24473844767,6.72156749101,16.2885196062
0.79199999999999993,1.2,20,6,0.0001,50,15.0,3.63481593132,3.72284197807,2.33693504333,0.143193006516,0.820224835322,2.95067555977,11.5652845231
0.8879999999999999,1.2,20,6,0.0001,50,14.0,3.67334294319,3.74051499367,3.9874022007,0.143868923187,1.12956072887,4.49031779358,12.4950095505
0.98399999999999987,1.2,20,6,0.0001,50,12.0,3.57003903389,3.65822100639,2.60967898369,0.141435146332,1.0054895401,2.6521127883,11.5858295263
0.13,1.3,20,6,0.0001,50,158.0,3.61635994911,3.6830470562,4.77526497841,0.0748209953308,0.867131983623,36.7328075262,21.7585186546
0.23400000000000001,1.3,20,6,0.0001,50,83.0,3.68154597282,3.77029490471,5.23641896248,0.0763511657715,0.998209420546,22.377858814,20.4281643947
0.33800000000000002,1.3,20,6,0.0001,50,41.0,3.67455506325,3.76211190224,5.12128400803,0.1449239254,1.24345306861,15.1517278344,14.6779790697
0.44200000000000006,1.3,20,6,0.0001,50,30.0,3.58055114746,3.65281701088,2.01561403275,0.0740551948547,0.846919085298,4.56021274377,13.9921424888
0.54600000000000004,1.3,20,6,0.0001,50,22.0,3.65990591049,3.75737810135,2.72889304161,0.144300937653,0.810620105267,4.99797260368,12.5105504706
0.65000000000000002,1.3,20,6,0.0001,50,18.0,3.61358499527,3.7065551281,5.14911603928,0.142718076706,1.00201132894,7.9217169835,11.8488581714
0.75400000000000011,1.3,20,6,0.0001,50,17.0,3.68929100037,3.77310490608,1.82537913322,0.214233875275,0.940346860886,2.42092723239,12.8045695683
0.8580000000000001,1.3,20,6,0.0001,50,13.0,3.62104701996,3.71195101738,2.43998980522,0.143020153046,0.906080115925,2.8438109618,11.5725018659
